,Month,Mean Precipitation
276,Jan 2013,303.36021122449
277,Feb 2013,302.61034047619
278,Mar 2013,309.579205075188
279,Apr 2013,279.764846428571
280,May 2013,295.368975
281,Jun 2013,297.111913214286
282,Jul 2013,279.013271428571
283,Aug 2013,234.93876607142897
284,Sep 2013,207.49017339285703
285,Oct 2013,201.779992857143
286,Nov 2013,199.182444172932
287,Dec 2013,197.55344863945598
288,Jan 2014,198.771988605442
289,Feb 2014,209.35601954887198
290,Mar 2014,222.39291717687098
291,Apr 2014,222.430410714286
292,May 2014,216.97510102040798
293,Jun 2014,202.633822959184
294,Jul 2014,182.29451625
295,Aug 2014,176.482080612245
296,Sep 2014,163.134381292517
297,Oct 2014,163.378089285714
298,Nov 2014,178.708535084034
299,Dec 2014,178.712946088435
300,Jan 2015,174.794871428571
301,Feb 2015,173.758865789474
302,Mar 2015,174.29382142857102
303,Apr 2015,172.151577040816
304,May 2015,166.350389464286
305,Jun 2015,166.813860714286
306,Jul 2015,179.608530357143
307,Aug 2015,162.74069914966
308,Sep 2015,166.077623979592
309,Oct 2015,171.448573214286
310,Nov 2015,166.09242406015
311,Dec 2015,164.004401785714
312,Jan 2016,161.098876879699
313,Feb 2016,159.716845357143
314,Mar 2016,159.226532142857
315,Apr 2016,164.465401870748
316,May 2016,169.002119897959
317,Jun 2016,179.912739285714
318,Jul 2016,161.823044821429
319,Aug 2016,150.21541242236
320,Sep 2016,148.51190170068
321,Oct 2016,152.617444047619
322,Nov 2016,151.331415714286
323,Dec 2016,152.729924659864
324,Jan 2017,160.012106964286
325,Feb 2017,162.962535912698
326,Mar 2017,158.979119254658
327,Apr 2017,156.54045206766898
328,May 2017,158.60021964285698
329,Jun 2017,157.973907142857
330,Jul 2017,157.610645892857
331,Aug 2017,148.543430357143
332,Sep 2017,147.31585785714302
333,Oct 2017,148.722376785714
334,Nov 2017,148.79216589285699
335,Dec 2017,149.0874275
336,Jan 2018,155.916875340136
337,Feb 2018,163.460969736842
338,Mar 2018,172.076589965986
339,Apr 2018,175.600982482993
340,May 2018,179.179058928571
341,Jun 2018,165.14028554421802
342,Jul 2018,156.55426547618998
343,Aug 2018,162.522258540373
344,Sep 2018,154.94500338345898
345,Oct 2018,160.365565062112
346,Nov 2018,160.878207678571
347,Dec 2018,167.489880555556
348,Jan 2019,166.84624149659902
349,Feb 2019,169.656283458647
350,Mar 2019,166.321331972789
351,Apr 2019,161.653386564626
352,May 2019,171.180153571429
353,Jun 2019,195.167922321429
354,Jul 2019,189.486373214286
355,Aug 2019,163.628614285714
356,Sep 2019,157.374436607143
357,Oct 2019,167.29779409937902
358,Nov 2019,166.361785526316
359,Dec 2019,167.059017321429
360,Jan 2020,171.814135204082
361,Feb 2020,168.744598496241
362,Mar 2020,162.17914821428602
363,Apr 2020,147.012160204082
364,May 2020,143.98924375
365,Jun 2020,148.042380357143
366,Jul 2020,152.587619642857
367,Aug 2020,149.392999829932
368,Sep 2020,166.602533503401
369,Oct 2020,186.7663875
370,Nov 2020,190.62503759398498
371,Dec 2020,199.18441751700698
